Date,Open,High,Low,Close,Adj Close,Volume
2017-03-08,5.160000,5.190000,5.070000,5.100000,5.100000,5419
2017-03-09,5.100000,5.740000,5.000000,5.730000,5.730000,112318
2017-03-10,5.680000,5.680000,5.350000,5.500000,5.500000,65804
2017-03-13,5.590000,5.590000,5.220000,5.590000,5.590000,57230
2017-03-14,5.590000,5.740000,5.540000,5.650000,5.650000,46754
2017-03-15,5.770000,5.790000,5.630000,5.730000,5.730000,52451
2017-03-16,5.780000,5.780000,5.660000,5.700000,5.700000,15176
2017-03-17,5.680000,5.700000,5.500000,5.580000,5.580000,15770
2017-03-20,5.700000,5.800000,5.630000,5.730000,5.730000,42211
2017-03-21,5.750000,5.790000,5.680000,5.760000,5.760000,21470
2017-03-22,5.750000,6.070000,5.750000,6.040000,6.040000,209842
2017-03-23,6.000000,6.020000,5.800000,5.850000,5.850000,34018
2017-03-24,5.860000,5.910000,5.800000,5.850000,5.850000,26586
2017-03-27,5.930000,5.950000,5.830000,5.950000,5.950000,27550
2017-03-28,5.890000,5.950000,5.820000,5.880000,5.880000,18309
2017-03-29,5.830000,5.930000,5.670000,5.800000,5.800000,14250
2017-03-30,5.800000,5.860000,5.770000,5.850000,5.850000,10103
2017-03-31,5.860000,5.860000,5.790000,5.820000,5.820000,5952
2017-04-03,5.810000,5.820000,5.750000,5.800000,5.800000,15078
2017-04-04,5.800000,5.800000,5.740000,5.800000,5.800000,6448
2017-04-05,5.770000,5.770000,5.710000,5.770000,5.770000,6572
2017-04-06,5.770000,5.800000,5.700000,5.740000,5.740000,15835
2017-04-07,5.800000,5.850000,5.720000,5.830000,5.830000,83912
2017-04-10,5.800000,5.830000,5.700000,5.820000,5.820000,29822
2017-04-11,5.830000,5.870000,5.800000,5.800000,5.800000,53484
2017-04-12,5.830000,5.860000,5.770000,5.790000,5.790000,16927
2017-04-13,5.740000,5.740000,5.600000,5.600000,5.600000,17640
2017-04-18,5.650000,5.650000,5.250000,5.270000,5.270000,35806
2017-04-19,5.270000,5.270000,5.000000,5.200000,5.200000,25342
2017-04-20,5.170000,5.290000,5.170000,5.210000,5.210000,5523
2017-04-21,5.130000,5.250000,5.130000,5.240000,5.240000,9968
2017-04-24,5.400000,5.520000,5.260000,5.270000,5.270000,18356
2017-04-25,5.310000,5.570000,5.310000,5.390000,5.390000,24353
2017-04-26,5.400000,5.450000,5.400000,5.400000,5.400000,5517
2017-04-27,5.380000,5.450000,5.380000,5.390000,5.390000,3780
2017-04-28,5.410000,5.480000,5.410000,5.430000,5.430000,7586
2017-05-02,5.500000,5.910000,5.460000,5.800000,5.800000,53194
2017-05-03,5.860000,5.890000,5.690000,5.740000,5.740000,12191
2017-05-04,5.760000,5.920000,5.720000,5.890000,5.890000,24663
2017-05-05,5.910000,6.000000,5.800000,5.940000,5.940000,38741
2017-05-08,5.990000,5.990000,5.790000,5.980000,5.980000,29566
2017-05-09,5.950000,6.000000,5.810000,5.890000,5.890000,32895
2017-05-10,5.860000,5.890000,5.780000,5.890000,5.890000,7202
2017-05-11,5.870000,5.900000,5.850000,5.850000,5.850000,2974
2017-05-12,5.850000,5.850000,5.670000,5.700000,5.700000,13435
2017-05-15,5.670000,5.720000,5.620000,5.660000,5.660000,14639
2017-05-16,5.690000,5.800000,5.690000,5.800000,5.800000,8496
2017-05-17,5.800000,5.800000,5.650000,5.700000,5.700000,3966
2017-05-18,5.620000,5.620000,5.460000,5.560000,5.560000,21583
2017-05-19,5.580000,5.650000,5.510000,5.650000,5.650000,11269
2017-05-22,5.670000,5.670000,5.620000,5.620000,5.620000,5487
2017-05-23,5.720000,5.920000,5.710000,5.920000,5.920000,46854
2017-05-24,5.890000,5.910000,5.810000,5.860000,5.860000,8283
2017-05-25,5.860000,5.890000,5.840000,5.840000,5.840000,1759
2017-05-26,5.840000,5.900000,5.820000,5.820000,5.820000,4114
2017-05-29,5.800000,5.900000,5.740000,5.900000,5.900000,11335
2017-05-30,5.870000,5.900000,5.780000,5.830000,5.830000,5542
2017-05-31,5.830000,5.870000,5.800000,5.830000,5.830000,3503
2017-06-01,5.900000,5.920000,5.850000,5.850000,5.850000,13372
2017-06-02,5.900000,5.980000,5.870000,5.960000,5.960000,67871
2017-06-05,5.980000,6.450000,5.980000,6.270000,6.270000,103953
2017-06-06,6.300000,6.400000,6.100000,6.300000,6.300000,53426
2017-06-07,6.400000,7.080000,6.400000,6.940000,6.940000,246488
2017-06-08,6.910000,6.910000,6.630000,6.850000,6.850000,57261
2017-06-09,6.880000,6.930000,6.710000,6.820000,6.820000,17687
2017-06-12,6.870000,6.870000,6.610000,6.620000,6.620000,21791
2017-06-13,6.530000,6.760000,6.530000,6.650000,6.650000,22022
2017-06-14,6.740000,6.790000,6.560000,6.620000,6.620000,13113
2017-06-15,6.630000,6.650000,6.410000,6.640000,6.640000,33756
2017-06-16,6.640000,6.670000,6.550000,6.670000,6.670000,13152
2017-06-19,6.680000,6.840000,6.660000,6.710000,6.710000,11953
2017-06-20,6.700000,6.760000,6.600000,6.600000,6.600000,24278
2017-06-21,6.600000,6.780000,6.570000,6.650000,6.650000,15030
2017-06-22,6.650000,6.700000,6.590000,6.680000,6.680000,9860
2017-06-23,6.660000,6.730000,6.610000,6.620000,6.620000,17883
2017-06-26,6.600000,6.640000,6.460000,6.460000,6.460000,16974
2017-06-27,6.480000,6.480000,6.210000,6.290000,6.290000,25638
2017-06-28,6.230000,6.270000,5.820000,6.190000,6.190000,43281
2017-06-29,6.220000,6.230000,6.090000,6.090000,6.090000,10401
2017-06-30,6.100000,6.250000,6.060000,6.230000,6.230000,19377
2017-07-03,6.160000,6.230000,6.080000,6.170000,6.170000,18252
2017-07-04,6.120000,6.230000,6.120000,6.200000,6.200000,7937
2017-07-05,6.220000,6.220000,6.010000,6.160000,6.160000,22596
2017-07-06,6.170000,6.180000,6.010000,6.020000,6.020000,12515
2017-07-07,6.040000,6.200000,6.020000,6.110000,6.110000,9809
2017-07-10,6.140000,6.200000,6.120000,6.120000,6.120000,8121
2017-07-11,6.140000,6.140000,5.970000,5.980000,5.980000,21442
2017-07-12,6.000000,6.000000,5.950000,5.990000,5.990000,8893
2017-07-13,5.990000,6.050000,5.970000,6.040000,6.040000,4278
2017-07-14,6.050000,6.200000,6.050000,6.190000,6.190000,6396
2017-07-17,6.200000,6.220000,6.130000,6.200000,6.200000,12031
2017-07-18,6.170000,6.180000,6.050000,6.060000,6.060000,9207
2017-07-19,6.090000,6.090000,6.020000,6.060000,6.060000,2638
2017-07-20,6.080000,6.120000,6.020000,6.090000,6.090000,7674
2017-07-21,6.110000,6.120000,6.050000,6.080000,6.080000,5248
2017-07-24,6.000000,6.150000,6.000000,6.010000,6.010000,19568
2017-07-25,6.050000,6.050000,5.960000,5.980000,5.980000,7073
2017-07-26,6.010000,6.050000,5.950000,5.970000,5.970000,76853
2017-07-27,5.970000,6.100000,5.950000,5.950000,5.950000,22206
