Date,Open,High,Low,Close,Adj Close,Volume
2017-03-08,2.268434,2.348028,2.119195,2.168941,2.168941,30758865
2017-03-09,2.158992,2.188840,2.079398,2.119195,2.119195,15208661
2017-03-10,2.139093,2.417673,2.139093,2.318180,2.318180,21547980
2017-03-13,2.348028,2.387825,2.258485,2.268434,2.268434,9659379
2017-03-14,2.258485,2.258485,2.139093,2.188840,2.188840,7479588
2017-03-15,2.178891,2.218688,2.158992,2.168941,2.168941,2893320
2017-03-16,2.188840,2.208738,2.149043,2.168941,2.168941,2239990
2017-03-17,2.158992,2.208738,2.129144,2.188840,2.188840,6010545
2017-03-20,2.208738,2.228637,2.168941,2.178891,2.178891,3482801
2017-03-21,2.178891,2.178891,2.119195,2.139093,2.139093,3321531
2017-03-22,2.109246,2.109246,1.999804,2.069449,2.069449,5545974
2017-03-23,2.089347,2.139093,2.069449,2.129144,2.129144,2312651
2017-03-24,2.129144,2.139093,2.079398,2.089347,2.089347,3033935
2017-03-27,2.208738,2.248535,2.089347,2.099296,2.099296,12381258
2017-03-28,2.158992,2.168941,2.119195,2.158992,2.158992,4390905
2017-03-29,2.158992,2.178891,2.139093,2.158992,2.158992,3808274
2017-03-30,2.168941,2.168941,2.119195,2.129144,2.129144,2905167
2017-03-31,2.129144,2.139093,2.079398,2.079398,2.079398,3250979
2017-04-03,2.089347,2.089347,2.029651,2.049550,2.049550,3899501
2017-04-04,2.049550,2.099296,2.029651,2.069449,2.069449,3454074
2017-04-05,2.099296,2.129144,2.059499,2.059499,2.059499,3635437
2017-04-06,2.079398,2.158992,2.039601,2.149043,2.149043,4855509
2017-04-07,2.129144,2.178891,2.119195,2.149043,2.149043,5120282
2017-04-10,2.158992,2.218688,2.158992,2.188840,2.188840,3131874
2017-04-11,2.218688,2.228637,2.188840,2.198789,2.198789,2247771
2017-04-12,2.208738,2.208738,2.178891,2.198789,2.198789,1665981
2017-04-13,2.198789,2.198789,2.198789,2.198789,2.198789,0
2017-04-18,2.208738,2.208738,2.119195,2.158992,2.158992,3460324
2017-04-19,2.158992,2.168941,2.129144,2.158992,2.158992,2254521
2017-04-20,2.139093,2.238586,2.139093,2.168941,2.168941,3851289
2017-04-21,2.168941,2.178891,2.099296,2.129144,2.129144,2340259
2017-04-24,2.129144,2.158992,2.099296,2.139093,2.139093,3302943
2017-04-25,2.139093,2.158992,2.119195,2.139093,2.139093,2765324
2017-04-26,2.139093,2.139093,2.109246,2.129144,2.129144,1602192
2017-04-27,2.158992,2.158992,2.109246,2.129144,2.129144,1999243
2017-04-28,2.208738,2.308231,2.168941,2.248535,2.248535,13337385
2017-05-02,2.268434,2.268434,2.198789,2.228637,2.228637,3161830
2017-05-03,2.218688,2.218688,2.139093,2.188840,2.188840,2517380
2017-05-04,2.188840,2.188840,2.149043,2.168941,2.168941,1568452
2017-05-05,2.168941,2.188840,2.139093,2.188840,2.188840,1991250
2017-05-08,2.188840,2.208738,2.168941,2.188840,2.188840,1449354
2017-05-09,2.188840,2.198789,2.149043,2.158992,2.158992,3355224
2017-05-10,2.158992,2.188840,2.149043,2.168941,2.168941,1707638
2017-05-11,2.178891,2.178891,2.099296,2.129144,2.129144,4415858
2017-05-12,2.149043,2.149043,2.109246,2.149043,2.149043,1448814
2017-05-15,2.158992,2.168941,2.099296,2.099296,2.099296,1634850
2017-05-16,2.119195,2.119195,2.049550,2.049550,2.049550,3968330
2017-05-18,2.049550,2.069449,2.009753,2.019702,2.019702,4890736
2017-05-19,2.029651,2.079398,2.029651,2.059499,2.059499,1252334
2017-05-22,2.069449,2.109246,2.049550,2.069449,2.069449,1097124
2017-05-23,2.089347,2.089347,2.039601,2.049550,2.049550,1164187
2017-05-24,2.049550,2.139093,2.049550,2.119195,2.119195,2393475
2017-05-26,2.168941,2.188840,2.129144,2.178891,2.178891,3936993
2017-05-29,2.178891,2.178891,2.139093,2.149043,2.149043,1632763
2017-05-30,2.139093,2.149043,2.109246,2.129144,2.129144,1104061
2017-05-31,2.129144,2.139093,2.109246,2.119195,2.119195,1583074
2017-06-01,2.119195,2.129144,2.079398,2.089347,2.089347,2346175
2017-06-02,2.109246,2.139093,2.089347,2.129144,2.129144,1429958
2017-06-06,2.139093,2.139093,2.069449,2.069449,2.069449,1882627
2017-06-07,2.089347,2.099296,1.741122,1.969956,1.969956,11639992
2017-06-08,1.979905,1.989854,1.810767,1.880412,1.880412,6604849
2017-06-09,1.850565,1.870463,1.790869,1.860514,1.860514,5322064
2017-06-12,1.870463,1.950057,1.661528,1.671478,1.671478,18335036
2017-06-13,2.139093,2.268434,1.979905,2.248535,2.248535,51739867
2017-06-14,2.318180,2.497267,2.248535,2.288333,2.288333,40097882
2017-06-15,2.288333,2.298282,2.129144,2.208738,2.208738,10484528
2017-06-16,2.188840,2.188840,2.119195,2.158992,2.158992,7208959
2017-06-19,2.158992,2.268434,2.129144,2.238586,2.238586,6042324
2017-06-20,2.248535,2.258485,2.158992,2.168941,2.168941,5397943
2017-06-21,2.158992,2.208738,2.149043,2.188840,2.188840,2136998
2017-06-22,2.178891,2.198789,2.158992,2.198789,2.198789,2726538
2017-06-23,2.208738,2.228637,2.158992,2.168941,2.168941,2899460
2017-06-26,2.188840,2.208738,2.119195,2.208738,2.208738,3584992
2017-06-27,2.208738,2.208738,2.158992,2.158992,2.158992,1389661
2017-06-28,2.158992,2.158992,2.129144,2.158992,2.158992,957348
2017-06-29,2.158992,2.168941,2.139093,2.149043,2.149043,883111
2017-06-30,2.158992,2.367927,2.119195,2.288333,2.288333,17380636
